method,path,normalized_path,pages,titles,sdk_module_guesses,handler_declared,mock_method_path,mock_call_expectation,request_body_matcher,query_matcher,response_fixture,fixture_deserialization,live_evidence,handler_evidence,mock_evidence,request_evidence,response_evidence,fixture_evidence,live_evidence_files,uncertain_test_path_mentions,audit_status,notes
DELETE,/v1/bdbs/{uid},/v1/bdbs/{},bdbs,Database requests,bdb,true,true,false,false,false,true,false,false,src/bdb.rs:730,tests/bdb/crud.rs:89;tests/tower_integration_tests.rs:193,,tests/tower_integration_tests.rs:193,,,tests/bdb/monitoring.rs;tests/debuginfo_tests.rs;tests/stats_tests.rs;tests/tower_middleware_tests.rs,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation; unscoped path literals are not counted as behavioral evidence
DELETE,/v1/bdbs/{uid}/passwords,/v1/bdbs/{}/passwords,bdbs/passwords,Database passwords requests,bdb,true,true,false,false,false,false,false,false,src/bdb.rs:943,tests/bdb/monitoring.rs:94,,,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/cluster/actions/{action},/v1/cluster/actions/{},cluster/actions,Cluster actions requests,,true,false,false,false,false,false,false,false,src/cluster.rs:613,,,,,,tests/cluster_tests.rs,handler_without_mock_evidence,unscoped path literals are not counted as behavioral evidence
DELETE,/v1/cluster/auditing/db_conns,/v1/cluster/auditing/db_conns,cluster/auditing-db-conns,Auditing database connections requests,,true,false,false,false,false,false,false,false,src/cluster.rs:629,,,,,,tests/cluster_tests.rs,handler_without_mock_evidence,unscoped path literals are not counted as behavioral evidence
DELETE,/v1/cluster/certificates/{certificate_name},/v1/cluster/certificates/{},cluster/certificates,Cluster certificates requests,,true,false,false,false,false,false,false,false,src/cluster.rs:640,,,,,,tests/cluster_tests.rs,handler_without_mock_evidence,unscoped path literals are not counted as behavioral evidence
DELETE,/v1/cluster/ldap,/v1/cluster/ldap,cluster/ldap,Cluster LDAP requests,,true,true,false,false,false,true,false,false,src/cluster.rs:658,tests/cluster_tests.rs:134,,tests/cluster_tests.rs:134,,,tests/ldap_mappings_tests.rs,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation; unscoped path literals are not counted as behavioral evidence
DELETE,/v1/cluster/sso,/v1/cluster/sso,cluster/sso,Single sign-on requests,,true,true,false,false,false,false,false,false,src/cluster.rs:728,tests/cluster_tests.rs:408,,,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/crdbs/{crdb_guid},/v1/crdbs/{},crdbs,CRDBs requests,crdb,true,true,false,false,false,true,false,false,src/crdb.rs:239,tests/crdb_tests.rs:461;tests/crdb_tests.rs:485,,tests/crdb_tests.rs:485,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/ldap_mappings/{uid},/v1/ldap_mappings/{},ldap_mappings,LDAP mappings requests,ldap_mappings,true,true,false,false,false,true,false,false,src/ldap_mappings.rs:101,tests/ldap_mappings_tests.rs:346;tests/ldap_mappings_tests.rs:370,,tests/ldap_mappings_tests.rs:370,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/nodes/{node_uid}/actions/{action},/v1/nodes/{}/actions/{},nodes/actions,Node actions requests,,true,true,false,false,false,false,false,false,src/nodes.rs:255,tests/node_tests.rs:144,,,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/nodes/{uid}/snapshots/{snapshot_name},/v1/nodes/{}/snapshots/{},nodes/snapshots,Node snapshot requests,,true,true,false,false,false,false,false,false,src/nodes.rs:279,tests/node_tests.rs:130,,,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/redis_acls/{uid},/v1/redis_acls/{},redis_acls,Redis access control list (ACL) requests,redis_acls,true,true,false,false,false,true,false,false,src/redis_acls.rs:52,tests/redis_acl_tests.rs:373;tests/redis_acl_tests.rs:524,,tests/redis_acl_tests.rs:524,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/roles/{uid},/v1/roles/{},roles,Roles requests,roles,true,true,false,false,false,true,false,false,src/roles.rs:96,tests/roles_tests.rs:376;tests/roles_tests.rs:400,,tests/roles_tests.rs:400,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v1/users/{uid},/v1/users/{},users,Users requests,users,true,true,false,false,false,false,false,true,src/users.rs:219;src/users.rs:251,tests/user_tests.rs:272,,,,tests/live_enterprise_smoke.rs:168,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v2/local/modules/user-defined/artifacts/<module_name>/<version>,/v2/local/modules/user-defined/artifacts/{}/{},modules/user-defined,User-defined module requests,,true,true,false,false,false,false,false,false,src/modules.rs:239,tests/module_tests.rs:388,,,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
DELETE,/v2/modules/user-defined/<uid>,/v2/modules/user-defined/{},modules/user-defined,User-defined module requests,,true,true,false,false,false,false,false,false,src/modules.rs:226,tests/module_tests.rs:366,,,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
GET,/v1/actions,/v1/actions,actions,Actions requests,actions,true,true,false,false,false,true,false,false,src/actions.rs:108;src/actions.rs:120;src/actions.rs:193,tests/action_tests.rs:108;tests/action_tests.rs:315;tests/action_tests.rs:64,,tests/action_tests.rs:108;tests/action_tests.rs:315;tests/action_tests.rs:64,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
GET,/v1/actions/bdb/{bdb_uid},/v1/actions/bdb/{},actions/bdb,Database actions requests,,true,false,false,false,false,false,false,false,src/actions.rs:157;src/actions.rs:217,,,,,,,handler_without_mock_evidence,
GET,/v1/actions/{uid},/v1/actions/{},actions,Actions requests,actions,true,true,false,false,false,true,false,false,src/actions.rs:126;src/actions.rs:202,tests/action_tests.rs:137;tests/action_tests.rs:172;tests/action_tests.rs:202;tests/action_tests.rs:285,,tests/action_tests.rs:137;tests/action_tests.rs:172;tests/action_tests.rs:202;tests/action_tests.rs:285,,,,handler_with_mock_evidence,Wiremock method/path matcher has no explicit call-count expectation
