page,title,method,path,description,source,source_type,sdk_module_guess,repo_module_exists,status,notes
actions,Actions requests,GET,/v1/actions,Get all actions,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/actions/,official_docs,actions,true,unreviewed,
actions,Actions requests,GET,/v2/actions,Get all actions,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/actions/,official_docs,actions,true,unreviewed,
actions,Actions requests,GET,/v1/actions/{uid},Get a single action,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/actions/,official_docs,actions,true,unreviewed,
actions,Actions requests,GET,/v2/actions/{uid},Get a single action,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/actions/,official_docs,actions,true,unreviewed,
actions/bdb,Database actions requests,GET,/v1/actions/bdb/{bdb_uid},Get the status of a specific database's actions,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/actions/bdb/,official_docs,,,unreviewed,
bdbs,Database requests,GET,/v1/bdbs,Get all databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/,official_docs,bdb,true,unreviewed,
bdbs,Database requests,GET,/v1/bdbs/{uid},Get a single database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/,official_docs,bdb,true,unreviewed,
bdbs,Database requests,PUT,/v1/bdbs/{uid},Update database configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/,official_docs,bdb,true,unreviewed,
bdbs,Database requests,PUT,/v1/bdbs/{uid}/{action},Update database configuration and perform additional action,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/,official_docs,bdb,true,unreviewed,
bdbs,Database requests,POST,/v1/bdbs,Create a new database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/,official_docs,bdb,true,unreviewed,
bdbs,Database requests,POST,/v2/bdbs,Create a new database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/,official_docs,bdb,true,unreviewed,
bdbs,Database requests,DELETE,/v1/bdbs/{uid},Delete a database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/,official_docs,bdb,true,unreviewed,
bdbs/actions,Database actions requests,PUT,/v1/bdbs/{uid}/actions/backup_reset_status,Reset database backup status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/,official_docs,actions,true,unreviewed,
bdbs/actions/backup_reset_status,Backup reset status database action requests,PUT,/v1/bdbs/{uid}/actions/backup_reset_status,Reset database backup status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/backup_reset_status/,official_docs,,,unreviewed,
bdbs/actions/export,Export database action requests,POST,/v1/bdbs/{uid}/actions/export,Initiate database export,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/export/,official_docs,,,unreviewed,
bdbs/actions/export_reset_status,Export resets status database action requests,PUT,/v1/bdbs/{uid}/actions/export_reset_status,Reset database export status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/export_reset_status/,official_docs,,,unreviewed,
bdbs/actions/import,Import database action requests,POST,/v1/bdbs/{uid}/actions/import,Initiate manual dataset import,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/import/,official_docs,,,unreviewed,
bdbs/actions/import_reset_status,Import reset status database action requests,PUT,/v1/bdbs/{uid}/actions/import_reset_status,Reset database import status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/import_reset_status/,official_docs,,,unreviewed,
bdbs/actions/optimize_shards_placement,Optimize shards placement database action requests,GET,/v1/bdbs/{uid}/actions/optimize_shards_placement,Get optimized shards placement for a database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/optimize_shards_placement/,official_docs,,,unreviewed,
bdbs/actions/rebalance,Rebalance database requests,PUT,/v1/bdbs/{uid}/actions/rebalance,Rebalance database shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/rebalance/,official_docs,,,unreviewed,
bdbs/actions/recover,Recover database requests,GET,/v1/bdbs/{uid}/actions/recover,Get database recovery plan,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/recover/,official_docs,,,unreviewed,
bdbs/actions/recover,Recover database requests,POST,/v1/bdbs/{uid}/actions/recover,Recover database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/recover/,official_docs,,,unreviewed,
bdbs/actions/resume_traffic,Resume database traffic requests,POST,/v1/bdbs/{uid}/actions/resume_traffic,Resume database traffic,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/resume_traffic/,official_docs,,,unreviewed,
bdbs/actions/revamp,Revamp database requests,PUT,/v1/bdbs/{uid}/actions/revamp,Update database configuration and optimize shard placement,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/revamp/,official_docs,,,unreviewed,
bdbs/actions/stop_traffic,Stop database traffic requests,POST,/v1/bdbs/{uid}/actions/stop_traffic,Stop database traffic,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/actions/stop_traffic/,official_docs,,,unreviewed,
bdbs/alerts,Database alerts requests,GET,/v1/bdbs/alerts,Get all alert states for all databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/alerts/,official_docs,alerts,true,unreviewed,
bdbs/alerts,Database alerts requests,GET,/v1/bdbs/alerts/{uid},Get all alert states for a specific database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/alerts/,official_docs,alerts,true,unreviewed,
bdbs/alerts,Database alerts requests,GET,/v1/bdbs/alerts/{uid}/{alert},Get a specific database alert state,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/alerts/,official_docs,alerts,true,unreviewed,
bdbs/alerts,Database alerts requests,POST,/v1/bdbs/alerts/{uid},Update a database’s alerts configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/alerts/,official_docs,alerts,true,unreviewed,
bdbs/availability,Database availability requests,GET,/v1/local/bdbs/{uid}/endpoint/availability,Verifies local database endpoint availability,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/availability/,official_docs,bdb,true,unreviewed,
bdbs/availability,Database availability requests,GET,/v1/bdbs/{uid}/availability,Verifies database availability,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/availability/,official_docs,bdb,true,unreviewed,
bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,GET,/v1/bdbs/crdt_sources/alerts,Get all CRDT sources alert states for all CRDB databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/crdt_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,GET,/v1/bdbs/crdt_sources/alerts/{uid},Get all CRDT sources alert states for a database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/crdt_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,GET,/v1/bdbs/crdt_sources/alerts/{uid}/{crdt_src_id},Get all alert states for a CRDT source,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/crdt_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,GET,/v1/bdbs/crdt_sources/alerts/{uid}/{crdt_src_id}/{alert},Get a database alert state,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/crdt_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/debuginfo,Database debug info requests,GET,/v1/bdbs/debuginfo,Get debug info from all databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/debuginfo/,official_docs,debuginfo,true,unreviewed,
bdbs/debuginfo,Database debug info requests,GET,/v1/bdbs/{bdb_uid}/debuginfo,Get debug info from a specific database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/debuginfo/,official_docs,debuginfo,true,unreviewed,
bdbs/modules,Database modules requests,POST,/v1/bdbs/{uid}/modules/config,Configure module,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/modules/,official_docs,modules,true,unreviewed,
bdbs/modules/config,Database modules config requests,POST,/v1/bdbs/{uid}/modules/config,Configure module,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/modules/config/,official_docs,,,unreviewed,
bdbs/modules/upgrade,Database upgrade modules requests,POST,/v1/bdbs/{uid}/modules/upgrade,Upgrade module,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/modules/upgrade/,official_docs,,,unreviewed,
bdbs/passwords,Database passwords requests,PUT,/v1/bdbs/{uid}/passwords,Update database password,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/passwords/,official_docs,bdb,true,unreviewed,
bdbs/passwords,Database passwords requests,POST,/v1/bdbs/{uid}/passwords,Add database password,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/passwords/,official_docs,bdb,true,unreviewed,
bdbs/passwords,Database passwords requests,DELETE,/v1/bdbs/{uid}/passwords,Delete database password,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/passwords/,official_docs,bdb,true,unreviewed,
bdbs/peer_stats,CRDB peer stats requests,GET,/v1/bdbs/{bdb_uid}/peer_stats,Get stats for all CRDB peer instances,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/peer_stats/,official_docs,bdb,true,unreviewed,
bdbs/peer_stats,CRDB peer stats requests,GET,/v1/bdbs/{bdb_uid}/peer_stats/{uid},Get stats for a specific CRDB peer instance,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/peer_stats/,official_docs,bdb,true,unreviewed,
bdbs/replica_sources-alerts,Database replica sources alerts requests,GET,/v1/bdbs/replica_sources/alerts,Get all replica sources alert states for all BDBs,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/replica_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/replica_sources-alerts,Database replica sources alerts requests,GET,/v1/bdbs/replica_sources/alerts/{uid},Get all replica sources alert states for a BDB,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/replica_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/replica_sources-alerts,Database replica sources alerts requests,GET,/v1/bdbs/replica_sources/alerts/{uid}/{replica_src_id},Get all alert states for a replica source,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/replica_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/replica_sources-alerts,Database replica sources alerts requests,GET,/v1/bdbs/replica_sources/alerts/{uid}/{replica_src_id}/{alert},Get a replica source alert state,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/replica_sources-alerts/,official_docs,alerts,true,unreviewed,
bdbs/shards,Database shards requests,GET,/v1/bdbs/{bdb_uid}/shards,Get the status of a database's shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/shards/,official_docs,bdb,true,unreviewed,
bdbs/stats,Database stats requests,GET,/v1/bdbs/stats,Get stats for all databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/stats/,official_docs,bdb,true,unreviewed,
bdbs/stats,Database stats requests,GET,/v1/bdbs/stats/{uid},Get stats for a specific database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/stats/,official_docs,bdb,true,unreviewed,
bdbs/stats/last,Latest database stats requests,GET,/v1/bdbs/stats/last,Get most recent stats for all databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/stats/last/,official_docs,,,unreviewed,
bdbs/stats/last,Latest database stats requests,GET,/v1/bdbs/stats/last/{uid},Get most recent stats for a specific database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/stats/last/,official_docs,,,unreviewed,
bdbs/sync_source_stats,Database syncer source stats requests,GET,/v1/bdbs/{bdb_uid}/sync_source_stats,Get stats for all syncer sources,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/sync_source_stats/,official_docs,bdb,true,unreviewed,
bdbs/sync_source_stats,Database syncer source stats requests,GET,/v1/bdbs/{bdb_uid}/sync_source_stats/{uid},Get stats for a specific syncer instance,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/sync_source_stats/,official_docs,bdb,true,unreviewed,
bdbs/syncer_state,Syncer state requests,GET,/v1/bdbs/{uid}/syncer_state,Get a CRDB's syncer state,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/syncer_state/,official_docs,bdb,true,unreviewed,
bdbs/syncer_state/crdt,CRDT syncer state requests,GET,/v1/bdbs/{uid}/syncer_state/crdt,Get a CRDB's syncer state,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bdbs/syncer_state/crdt/,official_docs,,,unreviewed,
